,sitio,sum_bytes,latitud,longitud,consumed_data,normalized
174,19-03036,398887345882,25.743183000000645,-100.51286900000846,398.9 GB,0.03892751811650664
175,19-03037,6416475395706,25.648071000002947,-100.16519100001663,6.4 TB,0.6513477362745879
176,19-03038,4919384056497,25.68027780000769,-100.16166669998752,4.9 TB,0.49898619258470944
177,19-03039,6545550232410,25.709932999994354,-100.15785100002034,6.5 TB,0.6644839029577317
178,19-03040,3124898569016,25.795551999997052,-100.19950100001626,3.1 TB,0.31635833826411214
179,19-03041,3022142082572,25.78096200000109,-100.22514100000254,3.0 TB,0.3059006350574207
180,19-03042,1194307726608,25.676195999994857,-100.2219439999982,1.2 TB,0.11987880940768242
181,19-03043,310215394859,25.696240999998334,-100.38172099999507,310.2 GB,0.02990322214603112
182,19-03044,2204337560966,25.768892999993724,-100.41673599998899,2.2 TB,0.2226712715008276
183,19-03046,170694488071,25.72257199999897,-100.39409999999172,170.7 GB,0.01570394106110884
184,19-03047,2430933714920,25.643627999995175,-100.29805599999817,2.4 TB,0.2457323492763908
185,19-03048,547849598065,25.691297000003672,-100.26685000001224,547.8 GB,0.054087661054822295
186,19-03049,1608721048155,25.703318000008654,-100.24532999999232,1.6 TB,0.16205436125471384
187,19-03050,8056811015079,25.80900000000461,-100.2569416999698,8.1 TB,0.8182874951200385
188,19-03051,4464553376361,25.796777000006134,-100.33799799997904,4.5 TB,0.45269729709243256
189,19-03052,1905429318200,25.727145000006512,-100.29796099997692,1.9 TB,0.19225086888630227
190,19-03053,3638543683185,25.674311999993517,-100.31967399999661,3.6 TB,0.3686328792048819
191,19-03054,2130377178949,25.647187000004678,-100.29055800001565,2.1 TB,0.21514419704593352
192,19-03055,2535489754401,25.666125999996808,-100.45995800001354,2.5 TB,0.25637319607057635
193,19-03056,890541260032,25.6631629999963,-100.42496900001788,890.5 GB,0.08896397705470598
194,19-03058,329762910279,25.638841999994824,-100.38339900001199,329.8 GB,0.031892606191407075
195,19-03060,1899862013302,25.71277599999468,-100.3498420000304,1.9 TB,0.19168427475390973
196,19-03061,1239026985550,25.646192999997613,-100.32327499998873,1.2 TB,0.12442996480256333
197,19-03062,1717257385242,25.674120500003333,-100.3011570999906,1.7 TB,0.17310028973744598
198,19-03063,2337755460525,25.664637000004717,-100.29766200000698,2.3 TB,0.23624943911177027
199,19-03064,506806803432,25.67917700000379,-100.2987019999802,506.8 GB,0.04991066571468857
200,19-03065,1577933984559,25.622145999999777,-100.29804200001824,1.6 TB,0.1589211091863107
201,19-03066,865359588875,25.66950399999697,-100.32443200001912,865.4 GB,0.08640119535282359
202,19-03067,1731978839617,25.76743700000193,-100.36919500001497,1.7 TB,0.1745985173039218
203,19-03068,2311367547609,25.78454500000201,-100.26692999999248,2.3 TB,0.23356389612495415
204,19-03069,1863910281948,25.76942700000413,-100.27366599999401,1.9 TB,0.18802540562284295
205,19-03070,1239405326161,25.760096000001607,-100.27517000001782,1.2 TB,0.1244684691730201
206,19-03071,2129500722478,25.7373479999961,-100.26923199999244,2.1 TB,0.2150549985732678
207,19-03072,1112940762447,25.709891000004248,-100.24902800002218,1.1 TB,0.11159795443227448
208,19-03073,1241773866156,25.71503500000099,-100.29529599998965,1.2 TB,0.12470951953546497
209,19-03074,611725459107,25.738591000001087,-100.30344499999138,611.7 GB,0.0605884165785443
210,19-03075,1506890907713,25.738975999994743,-100.31324999998728,1.5 TB,0.15169093386350488
